id,author,filename,dateexecuted,orderexecuted,exectype,md5sum,description,comments,tag,liquibase,contexts,labels,deployment_id
00000000000000,jhipster,config/liquibase/changelog/00000000000000_initial_schema.xml,2019-02-26 17:22:29.670410,1,EXECUTED,7:a6235f40597a13436aa36c6d61db2269,createSequence sequenceName=hibernate_sequence,,NULL,3.5.4,NULL,NULL,1219749534
00000000000001,jhipster,config/liquibase/changelog/00000000000000_initial_schema.xml,2019-02-26 17:22:29.813471,2,EXECUTED,7:82e88b28a62d7d35000a00b1f77cf3a7,"createTable tableName=jhi_user; createTable tableName=jhi_authority; createTable tableName=jhi_user_authority; addPrimaryKey tableName=jhi_user_authority; addForeignKeyConstraint baseTableName=jhi_user_authority, constraintName=fk_authority_name, ...",,NULL,3.5.4,NULL,NULL,1219749534
20181205200922-1,jhipster,config/liquibase/changelog/20181205200922_added_entity_Reporter.xml,2019-02-26 17:22:29.837564,3,EXECUTED,7:0dc8f377e472b80f0f640284464f38af,createTable tableName=reporter,,NULL,3.5.4,NULL,NULL,1219749534
20181205202009-1,jhipster,config/liquibase/changelog/20181205202009_added_entity_Report.xml,2019-02-26 17:22:29.944780,4,EXECUTED,7:64151abacec7fcc19fa775e86d1a99a8,createTable tableName=report,,NULL,3.5.4,NULL,NULL,1219749534
20181205202430-1,jhipster,config/liquibase/changelog/20181205202430_added_entity_ReportAttachment.xml,2019-02-26 17:22:29.963753,5,EXECUTED,7:81108cf3ecc3c4452603c6598577d00a,createTable tableName=report_attachment,,NULL,3.5.4,NULL,NULL,1219749534
20181205202956-1,jhipster,config/liquibase/changelog/20181205202956_added_entity_ReportStatus.xml,2019-02-26 17:22:29.983127,6,EXECUTED,7:c852eab6a59f875a3729b5a0e3e65245,createTable tableName=report_status,,NULL,3.5.4,NULL,NULL,1219749534
20181205205205-1,jhipster,config/liquibase/changelog/20181205205205_added_entity_Comment.xml,2019-02-26 17:22:30.004096,7,EXECUTED,7:852042084893a93a828655b9251ec9d8,createTable tableName=comment,,NULL,3.5.4,NULL,NULL,1219749534
20181205205502-1,jhipster,config/liquibase/changelog/20181205205502_added_entity_Vote.xml,2019-02-26 17:22:30.018146,8,EXECUTED,7:f8aa5189b5cad28a4a866f4ecdb6c0b2,createTable tableName=vote,,NULL,3.5.4,NULL,NULL,1219749534
20181205200922-2,jhipster,config/liquibase/changelog/20181205200922_added_entity_constraints_Reporter.xml,2019-02-26 17:22:30.031505,9,EXECUTED,7:1b9ede8f64b006ddad7e51a244c08425,"addForeignKeyConstraint baseTableName=reporter, constraintName=fk_reporter_user_id, referencedTableName=jhi_user",,NULL,3.5.4,NULL,NULL,1219749534
20181205202009-2,jhipster,config/liquibase/changelog/20181205202009_added_entity_constraints_Report.xml,2019-02-26 17:22:30.048938,10,EXECUTED,7:793f5c6561a020d88a2da8a15e8b2930,"addForeignKeyConstraint baseTableName=report, constraintName=fk_report_reporter_id, referencedTableName=jhi_user; addForeignKeyConstraint baseTableName=report, constraintName=fk_report_parent_id, referencedTableName=report",,NULL,3.5.4,NULL,NULL,1219749534
20181205202430-2,jhipster,config/liquibase/changelog/20181205202430_added_entity_constraints_ReportAttachment.xml,2019-02-26 17:22:30.064998,11,EXECUTED,7:c3fbd6beafecc3c75374068ba67489ca,"addForeignKeyConstraint baseTableName=report_attachment, constraintName=fk_report_attachment_report_id, referencedTableName=report",,NULL,3.5.4,NULL,NULL,1219749534
20181205202956-2,jhipster,config/liquibase/changelog/20181205202956_added_entity_constraints_ReportStatus.xml,2019-02-26 17:22:30.084046,12,EXECUTED,7:0745c834cdd9f03d58a58fc73bb7580c,"addForeignKeyConstraint baseTableName=report_status, constraintName=fk_report_status_reporter_id, referencedTableName=jhi_user; addForeignKeyConstraint baseTableName=report_status, constraintName=fk_report_status_report_id, referencedTableName=report",,NULL,3.5.4,NULL,NULL,1219749534
20181205205205-2,jhipster,config/liquibase/changelog/20181205205205_added_entity_constraints_Comment.xml,2019-02-26 17:22:30.105359,13,EXECUTED,7:b96c86646737d7c30ad132f85a1320b5,"addForeignKeyConstraint baseTableName=comment, constraintName=fk_comment_commenter_id, referencedTableName=jhi_user; addForeignKeyConstraint baseTableName=comment, constraintName=fk_comment_report_id, referencedTableName=report; addForeignKeyConst...",,NULL,3.5.4,NULL,NULL,1219749534
20181205205502-2,jhipster,config/liquibase/changelog/20181205205502_added_entity_constraints_Vote.xml,2019-02-26 17:22:30.128848,14,EXECUTED,7:bf8e0cb1742b7e8bc6e3d9fdbc8c3e60,"addForeignKeyConstraint baseTableName=vote, constraintName=fk_vote_voter_id, referencedTableName=jhi_user; addForeignKeyConstraint baseTableName=vote, constraintName=fk_vote_report_id, referencedTableName=report",,NULL,3.5.4,NULL,NULL,1219749534
1549577718182-1,user (generated),config/liquibase/changelog/20190207221509_changelog.xml,2019-02-26 17:22:30.141494,15,EXECUTED,7:5ffe95b32459fdd5a2892ca79a11f995,addColumn tableName=report,,NULL,3.5.4,NULL,NULL,1219749534
1549640424039-1,user (generated),config/liquibase/changelog/20190208154015_changelog.xml,2019-02-26 17:22:30.157005,16,EXECUTED,7:2501dffc0e6684276924fe5372b7f43a,addColumn tableName=report,,NULL,3.5.4,NULL,NULL,1219749534
load-sample-data,Zachary Chen,config/liquibase/changelog/20190226191710_changelog.xml,2019-02-26 17:22:30.204342,17,EXECUTED,7:faadd9fdf8a127d714e53e8f3ed41c60,loadUpdateData tableName=jhi_user; loadUpdateData tableName=jhi_user_authority; loadUpdateData tableName=report; loadUpdateData tableName=reporter; loadUpdateData tableName=report_status; loadUpdateData tableName=vote; loadUpdateData tableName=com...,,NULL,3.5.4,NULL,NULL,1219749534
